dalid	eloadoid	cim	megjelenes
178	67	Sister Golden Hair	1975
179	67	Ventura Highway	1972
180	68	Bend Me Shape Me	1968
181	69	Knock On Wood	1979
182	70	Mr Rock & Roll	2008
183	70	Run	2009
184	70	This Is The Life	2008
185	71	Back To Black	2007
186	71	Love Is A Losing Game	2007
187	71	Our Day Will Come	2011
188	71	Rehab	2006
189	71	Tears dry on their own	2007
190	71	You Know I'm No Good	2007
191	72	I'm Outta Love	2000
192	72	Left Outside Alone	2004
193	72	Paid My Dues	2001
194	73	'n Beetje Verliefd	1981
195	73	'n Vriend	1980
196	73	Bloed, Zweet En Tranen	2002
197	73	De Vlieger	1977
198	73	Diep In Mijn Hart	1982
199	73	Eenzame Kerst	1976
200	73	Geef Mij Je Angst	1983
201	73	Het Is Koud Zonder Jou	1980
202	73	Het laatste rondje	1984
203	73	Ik Meen 't	1985
204	73	Kleine Jongen	1990
205	73	Zeg Maar Niets Meer	1982
206	73	Zij Gelooft In Mij	1981
207	74	Leef	2016
208	75	Second Waltz	1994
209	76	Als Je Huilt	1982
210	76	Bim Bam	1982
211	76	De Tamme Boerenzoon	1974
212	76	Doorgaan	1975
213	76	Willempie	1976
214	77	Con Te Partiro	1996
215	77	Vivere	1994
216	77	Vivo Per Lei	1996
217	78	Lonely Boy	1977
218	78	Never Let Her Slip Away	1978
219	78	Thank You For Being A Friend	1978
220	79	Baby I Love You	1969
221	80	(Where Do I Begin) Love Story	1971
222	80	Battle Hymn Of The Republic	1968
223	80	Music To Watch Girls By	1967
224	81	San Franciscan Nights	1967
225	81	When I Was Young	1967
226	82	Miracles	1977
227	83	The Alternative Way	1976
228	83	They Don't Play Our Lovesong Anymore	1981
229	83	Why Tell Me Why	1981
230	84	Ring My Bell	1979
231	85	Complainte Pour Ste. Catherine	1976
232	86	Tu Te Reconnaitras	1973
233	87	You Needed Me	1978
234	88	Brandend Zand	1962
235	88	Paradiso	1962
236	89	No More I Love You's	1995
237	89	Why	1992
238	90	Put A Little Love In Your Heart	1988
239	91	Birds	2013
240	91	For Bitter Or Worse	2009
241	91	Girl	2004
242	91	I Don't Wanna Hurt	2008
243	91	I'm A Cliche	2011
244	91	Jerusalem	2005
245	91	Lost	2005
246	91	Michel	2000
247	91	Modern World	2008
248	91	Nobody's Wife	1997
249	91	One Word	2005
250	91	Places To Go	2014
251	91	R U Kiddin' Me	1999
252	91	Sacrifice	1998
253	91	Save Me	2011
254	91	Three Days In A Row	2009
255	91	What Have You Done	2011
256	91	Woman	2009
257	92	Hold Me	2014
