eloadoid	nev	zenekar
1090	Marbles	1
1091	Marc Cohn	0
1092	Marcels	1
1093	Marcia Hines	0
1094	Marco Borsato	0
1095	Marco Borsato & Ali B	0
1096	Marco Borsato & Do	0
1097	Marco Borsato & Lucie Silvas	0
1098	Marco Borsato & Trijntje Oosterhuis	0
1099	Margaret Singana	0
1100	Margie Ball	0
1101	Margriet Eshuijs	0
1102	Maria Mc Kee	0
1103	Maria Mena	0
1104	Mariah Carey	0
1105	Marianne Faithfull	0
1106	Marianne Rosenberg	0
1107	Marie Osmond	0
1108	Marillion	1
1109	MARILYN MANSON	0
1110	Marilyn Martin	0
1111	Mark & Clark Band	1
1112	Mark Knopfler	0
1113	Mark Ronson Ft. Amy Winehouse	0
1114	Mark Ronson ft. Bruno Mars	0
1115	Mark Ronson ft. Miley Cyrus	0
1116	Marlene Dietrich	0
1117	Marlon Roudette	0
1118	Maroon 5	1
1119	Maroon 5 & Christina Aguilera	1
1120	Marshall Hain	1
1121	Martin Garrix	0
1122	Martin Garrix & Bebe Rexha	0
1123	Martin Garrix & Dua Lipa	0
1124	Martin Garrix feat. Bonn	0
1125	Marty Wilde	0
1126	Marvin Gaye	0
1127	Marvin Gaye & Kim Weston	0
1128	Marvin Gaye & Tammi Terrell	0
1129	Marvin Hamlisch	0
1130	Marvin, Welch & Farrar	1
1131	Mary Hopkin	0
1132	Mary MacGregor	0
1133	Mary Wells	0
1134	Mason Williams	0
1135	Massada	1
1136	Massive Attack	1
1137	Matia Bazar	1
1138	Matt Bianco	1
1139	Matt Dusk	0
1140	Matt Simons	0
1141	Matthew Wilder	0
1142	Matthews Southern Comfort	1
1143	Matthias Reim	0
1144	Maureen McGovern	0
1145	Max Werner	0
1146	Maxine Nightingale	0
1147	Maywood	1
1148	MC Hammer	0
1149	McCoys	1
1150	McGuinn, Clark & Hillman	1
1151	McGuinness Flint	1
1152	Meat Loaf	0
1153	Mecano	1
1154	Mel & Kim	1
1155	Melanie	0
1156	Melanie & Edwin Hawkins singers	0
1157	Melissa Etheridge	0
1158	Men At Work	1
1159	Metallica	1
1160	Mezzoforte	1
1161	MFSB & The Three Degrees	1
1162	MGMT	1
1163	Michael Bolton	0
1164	Michael Bublé	0
1165	Michael Jackson	0
1166	Michael Jackson & Justin Timberlake	0
1167	Michael Kiwanuka	0
1168	Michael McDonald	0
1169	Michael Nesmith & First National Band	1
1170	Michael Prins	0
1171	Michael Zager Band	1
1172	Michel Delpech	0
1173	Michel Fugain	0
1174	Michel Polnareff	0
1175	Michel Sardou	0
1176	Michel Teló	0
1177	Mick Jagger	0
1178	Middle of the road	1
1179	Midnight Oil	1
1180	Mighty Sparrow and Byron Lee	0
1181	Mika	0
1182	Mike & The Mechanics	0
1183	Mike Batt	0
1184	Mike Oldfield	0
1185	Mike Oldfield & Maggie Reilly	0
1186	Miley Cyrus	0
1187	Milk & Honey	1
1188	Milky Chance	1
1189	Milli Vanilli	1
1190	Millie Small	0
1191	Milow	0
1192	Mink DeVille	0
1193	Minnie Riperton	0
1194	Miriam Makeba	0
1195	Miss Montreal	1
1196	Mo	0
1197	Moby	0
1198	Moby Grape	1
1199	Mocedades	1
1200	Modern Talking	1
1201	Moments & Whatnauts	1
1202	Monty Python	1
1203	Mort Shuman	0
1204	Mory Kante	0
1205	Moses	0
1206	Mother's Finest	1
1207	Motions	1
1208	Motörhead	1
1209	Mott The Hoople	1
1210	Mouth & MacNeal	1
1211	Mr. Acker Bilk	0
1212	Mr. Big	1
1213	Mr. Bloe	0
1214	Mr. Mister	1
1215	Mr. Probz	0
1216	Mud	1
1217	Muddy Waters	0
1218	Mumford & Sons	1
1219	Mungo Jerry	0
1220	Murray Head	0
1221	Muse	1
1222	Nadieh	0
1223	Nana Mouskouri	0
1224	Nancy & Frank Sinatra	0
1225	Nancy Sinatra	0
1226	Nat 'King' Cole	0
1227	Natalie Cole	0
1228	Natalie Imbruglia	0
1229	Natasha Bedingfield	0
1230	Nathaniel Rateliff	0
1231	Nazareth	1
1232	Neet Oet Lottum	1
1233	Neil Diamond	0
1234	Neil Sedaka	0
1235	Neil Young	0
1236	Nelly Furtado	0
1237	Nena	0
1238	Nena & Kim Wilde	0
1239	New Order	1
1240	New Vaudeville Band	1
1241	Niall Horan	0
1242	Nick & Simon	1
1243	Nick & Thomas	1
1244	Nick Cave & The Bad Seeds	1
1245	Nick Cave And The Bad Seeds + Kylie Minogue	1
1246	Nick Lowe	0
1247	Nick MacKenzie	0
1248	Nickelback	1
1249	Nicole (Hohloch)	0
1250	Niels Geusebroek	0
1251	Nielson	0
1252	Nielson & Miss Montreal	0
1253	Nightwish	1
1254	Nik Kershaw	0
1255	Nils Lofgren	0
1256	Nina Hagen	0
1257	Nina Simone	0
1258	Nini Rosso	0
1259	Nino Ferrer	0
1260	Nirvana	1
1261	Nits	1
1262	No Doubt	1
1263	No Mercy	1
1264	Noel Harrison	0
1265	Norah Jones	0
1266	Normaal	1
1267	Norman Greenbaum	0
1268	Nothing But Thieves	1
1269	Nova	1
1270	Novastar	1
1271	Oasis	1
1272	Ocean	1
1273	Odyssey	0
1274	Of Monsters and Men	1
1275	Offspring	1
1276	Oleta Adams	0
1277	Oliver	0
1278	Olivia Newton-John	0
1279	OMI	0
1280	One direction	1
1281	One Republic	1
1282	Opus	1
1283	Orchestral Manoeuvres In The Dark	1
1284	Orleans	1
1285	Oscar Harris	0
1286	Otis Redding	0
1287	Outkast	1
1288	Outlaws	1
1289	Outsiders	1
1290	Owen Paul	0
1291	Owl City	1
1292	Ozzy Osbourne	0
1293	Pacific Gas & Electric	1
1294	Paco	1
1295	Panic! at the Disco	1
1296	Paolo Conte	0
1297	Paolo Nutini	0
1298	Paper Lace	1
1299	Partner	1
1300	Partridge Family	1
1301	Party Animals	1
1302	Passenger	1
1303	Passepartout	1
1304	Pat Benatar	0
1305	Pat Boone	0
1306	Patricia Paay	0
1307	Patrick Bruel	0
1308	Patrick Hernandez	0
1309	Patsy Cline	0
1310	Patsy Gallant	0
1311	Patti Labelle & Michael McDonald	0
1312	Patti Smith	0
1313	Patty Pravo	0
1314	Paul Anka	0
1315	Paul Carrack	0
1316	Paul Da Vinci	0
1317	Paul De Leeuw	0
1318	Paul De Leeuw & Alderliefste	0
1319	Paul de Leeuw & André Hazes	0
1320	Paul de Leeuw & Simone Kleinsma	0
1321	Paul Elstak	0
1322	Paul Hardcastle	0
1323	Paul Jones	0
1324	Paul Kalkbrenner	0
1325	Paul Mauriat	0
1326	Paul McCartney	0
1327	Paul McCartney & Michael Jackson	0
1328	Paul McCartney & Stevie Wonder	0
1329	Paul McCartney & Wings	0
1330	Paul McCartney And The Frog Chorus	0
1331	Paul Simon	0
1332	Paul Weller	0
1333	Paul Young	0
1334	Peabo Bryson & Roberta Flack	1
1335	Peaches & Herb	1
1336	Pearl Jam	1
1337	Peggy Lee	0
1338	Percy Sledge	0
1339	Peret	0
1340	Pet Shop Boys	1
1341	Pete Seeger	0
1342	Peter & Gordon	1
1343	Peter Fox	0
1344	Peter Frampton	0
1345	Peter Gabriel	0
1346	Peter Gabriel & Kate Bush	0
1347	Peter Koelewijn	0
1348	Peter Maffay	0
1349	Peter Sarstedt	0
1350	Peter Schaap	0
1351	Peter Schilling	0
1352	Peter Skellern	0
1353	Peter Tosh	0
1354	Petula Clark	0
1355	Ph.D.	1
1356	Pharrell	0
1357	Phil Collins	0
1358	Phil Lynott	0
1359	Phil Oakley and Giorgio Moroder	0
1360	Philip Bailey	0
1361	Philip Bailey & Phil Collins	0
1362	Pia Douwes	0
1363	Piet Veerman	0
1364	Piglets	1
1365	Pilot	1
1366	Pink	0
1367	Pink Floyd	1
1368	Pink ft. Nate Ruess	0
1369	Pino D'angio	0
1370	Pixies	1
1371	PLACEBO	1
1372	Placido Domingo & John Denver	0
1373	Plain White T'S	1
1374	Plastic Bertrand	0
1375	Platters	1
1376	Poco	1
1377	Pointer Sisters	1
1378	Polle Eduard	0
1379	Poppys	1
1380	Portishead	1
1381	Portugal. The Man	1
1382	Power Station	1
1383	Prince	0
1384	Prince & The Revolution	0
1385	Procol Harum	1
1386	Prodigy	1
1387	Propaganda	1
1388	PSY	0
1389	PULP	1
1390	Pussycat	1
1391	Q65	1
1392	Queen	1
1393	Queen & David Bowie	1
1394	Queens Of The Stone Age	1
1395	Queensrÿche	1
1396	R. Dean Taylor	0
1397	R. Kelly	0
1398	R.E.M.	1
1399	Racey	1
1400	Racing Cars	1
1401	Racoon	1
1402	Radiohead	1
1403	Radios	1
1404	Raffaela Carra	0
1405	Rage Against The Machine	1
1406	Rag'n'Bone Man	0
1407	Rah Band	1
1408	Ralph McTell	0
1409	Ram Jam	1
1410	Rammstein	1
1411	Ramones	1
1412	Ramses Shaffy	0
1413	Ramses Shaffy & Liesbeth List	0
1414	Ramses Shaffy & Liesbeth List & Alderliefste	0
1415	Randy Crawford	0
1416	Randy Newman	0
1417	Randy Vanwarmer	0
1418	Rare Earth	1
1419	Ray Charles	0
1420	Ray Conniff Singers	1
1421	Ray Parker jr.	0
1422	Ray Peterson	0
1423	Ray Stevens	0
1424	Raymond Frogatt	0
1425	Raymond van het Groenewoud	0
1426	Razorlight	1
1427	Reamonn	1
1428	Red Box	1
1429	Red Hot Chili Peppers	1
1430	Redbone	1
1431	Rein de Vries	0
1432	Reinhard Mey	0
1433	Rene Froger	0
1434	Rene Klijn	0
1435	REO Speedwagon	1
1436	Riccardo Cocciante	0
1437	Richard Barnes	0
1438	Richard Harris	0
1439	Richard Marx	0
1440	Rick Astley	0
1441	Rick James	0
1442	Ricky Nelson	0
1443	Rihanna	0
1444	Rihanna feat. Mikky Ekko	0
1445	Ringo Starr	0
1446	Rita Coolidge	0
1447	Rita Hovink	0
1448	Ritchie Valens	0
1449	Rob de Nijs	0
1450	Rob Hoeke	0
1451	Rob Hoeke Rhythm	1
1452	Robbie Williams	0
1453	Robbie Williams & Gary Barlow	0
1454	Robbie Williams & Pet Shop Boys	0
1455	Robert Long	0
1456	Robert Miles	0
1457	Robert Palmer	0
1458	Robert Plant	0
1459	Roberta Flack	0
1460	Roberto Jacketti & the Scooters	1
1461	Robin Beck	0
1462	Robin Gibb	0
1463	Robin S	0
1464	Robin Thicke ft. Pharrell	0
1465	Rocco Granata	0
1466	Rod Mckuen	0
1467	Rod Stewart	0
1468	Rod Stewart & Tina Turner	0
1469	Ro-d-ys	1
1470	Roger Daltrey	0
1471	Roger Glover & Guests	1
1472	Roger Miller	0
1473	Roger Whittaker	0
1474	Roland Kaiser	0
1475	Romantics	1
1476	Ronan Keating	0
1477	Ronnie & De Ronnies	1
1478	Room eleven	1
1479	Rory Block	0
1480	Rose Royce	0
1481	Rowwen Hèze	0
1482	Roxette	1
1483	Roxy Music	1
1484	Roy Orbison	0
1485	Rudi Carrell	0
1486	Rufus & Chaka Khan	1
1487	Rufus Wainwright	0
1488	Rumer	0
1489	Run DMC & Aerosmith	1
1490	Rupert Holmes	0
1491	Rush	1
1492	Ruth Jacott	0
1493	Ry Cooder	0
1494	Ryan Paris	0
1495	Sade	0
1496	Sailor	1
1497	Salt-N-Pepa	1
1498	Sam & Dave	1
1499	Sam Brown	0
1500	Sam Cooke	0
1501	Sam Hunt	0
1502	Sam Smith	0
1503	Sam the Sham	0
1504	Sammy Davis Jr.	0
1505	Sandie Shaw	0
1506	Sandpipers	1
1507	Sandra	0
1508	Sandra Kim	0
1509	Sandra van Nieuwland	0
1510	Sandy Coast	1
1511	Santa Esmeralda	1
1512	Santabarbara	0
1513	Santana	0
1514	Santana & John Lee Hooker	0
1515	Santana & Willie Nelson	0
1516	Santana feat. Product G&B	0
1517	Santana Ft. Rob Thomas	0
1518	Sarah Brightman & Andrea Bocelli	0
1519	Saybia	1
1520	Scissor Sisters	1
1521	Scorpions	1
1522	Scott Fitzgerald & Yvonne Keeley	0
1523	Scott McKenzie	0
1524	Script	1
1525	Seal	0
1526	Seal & Adamski	0
1527	Seekers	1
1528	Serge Gainsbourg & Jane Birkin	1
1529	Sergio Mendes	0
1530	Sex Pistols	1
1531	Shakatak	1
1532	Shakin' Stevens	0
1533	Shakira	0
1534	Shangri Las	1
1535	Shania Twain	0
1536	Sharif Dean	0
1537	Shawn Elliot	0
1538	Shawn Mendes	0
1539	Sheena Easton	0
1540	Sheila and Black Devotion	1
1541	Sheppard	1
1542	Sherbet	1
1543	Sheryl Crow	0
1544	Shirley & Company	1
1545	Shirley Bassey	0
1546	Shirley Zwerus	0
1547	Shocking Blue	1
1548	Sia	0
1549	Sid Vicious	0
1550	Simon & Garfunkel	1
1551	Simple Minds	1
1552	Simply Red	0
1553	Sinead O'Connor	0
1554	Sir Douglas Quintet	1
1555	Sister Sledge	1
1556	Sixpence None The Richer	1
1557	Skik	1
1558	Skunk Anansie	1
1559	Skylark	1
1560	Slade	1
1561	Slayer	1
1562	Slik	1
1563	Small Faces	1
1564	SMASH MOUTH	1
1565	Smashing Pumpkins	1
1566	Smiths	1
1567	Smokey Robinson (& The Miracles)	1
1568	Smokie	1
1569	Snap	1
1570	Snelle	0
1571	Sniff 'n The Tears	1
1572	Snow Patrol	1
1573	Snowy White	0
1574	Soft Cell	1
1575	Solid Harmonie	1
1576	Sonny & Cher	1
1577	Soul Sister	1
1578	Soundgarden	1
1579	Space Monkey	1
1580	Spandau Ballet	1
1581	Spargo	1
1582	Sparks	1
1583	Spelbrekers	1
1584	Spice Girls	1
1585	Spider Murphy Gang	1
1586	Spin Doctors	1
1587	Spinvis	0
1588	Split Enz	1
1589	Splitsing	1
1590	Spooky & Sue	1
1591	Springwater	1
1592	Stampeders	1
1593	Stan Ridgway	0
1594	Starland Vocal Band	1
1595	Stars on 45	1
1596	Starship	1
1597	Status Quo	1
1598	Stealers Wheel	1
1599	Steeleye Span	1
1600	Steely Dan	1
1601	Stef Bos	0
1602	Stephanie Mills	0
1603	Stephen Bishop	0
1604	Stephen Stills	0
1605	Steppenwolf	1
1606	Stereophonics	1
1607	Steve Harley & Cockney Rebel	1
1608	Steve Miller Band	1
1609	Steve Rowland and the Family Dogg	1
1610	Steve Winwood	0
1611	Stevie Ann	0
1612	Stevie Nicks	0
1613	Stevie Ray Vaughan	0
1614	Stevie Wonder	0
1615	Stevie Wonder & Babyface	0
1616	Sting	0
1617	Sting & Branford Marsalis	0
1618	Stone Roses	1
1619	STONE TEMPLE PILOTS	1
1620	Strawbs	1
1621	Stray Cats	1
1622	Stretch	1
1623	Stromae	0
1624	Style Council	1
1625	Stylistics, The	1
1626	Styx	1
1627	Sue Thompson	0
1628	Sugarhill Gang	1
1629	Sugarloaf	1
1630	Supersister	1
1631	Supertramp	1
1632	Surfers	1
1633	Survivor	1
1634	Sutherland Brothers And Quiver	1
1635	Suzan & Freek	1
1636	Suzanne Vega	0
1637	Suzi Quatro	0
1638	Suzi Quatro & Chris Norman	0
1639	Swedish House Mafia	1
1640	Sweet Sensation	1
1641	Swinging Blue Jeans	1
1642	Swinging Soul Machine	1
1643	Sylvain Poons & Oetze Verschoor	1
1644	Syndicate of Sound	1
1645	System Of A Down	1
1646	T Rex	1
1647	Take That	1
1648	Talk Talk	1
1649	Talking Heads	1
1650	Tame Impala	1
1651	Tammy Wynette	0
1652	Tanita Tikaram	0
1653	Tavares	1
1654	Taylor Swift	0
1655	Taylor Swift ft. Ed Sheeran	0
1656	Teach-In	1
1657	Tears For Fears	1
1658	Tee Set	1
1659	Temple Of The Dog	1
1660	Temptations	1
1661	Ten Pole Tudor	1
1662	Ten Sharp	1
1663	Ten Years After	1
1664	Tenacious D	1
1665	Terence Trent D'Arby	0
1666	Terry Jacks	0
1667	The 5th Dimension	1
1668	The Alan Parsons Project	1
1669	The Allman Brothers Band	1
1670	The Amazing Stroopwafels	1
1671	The Animals	1
1672	The Archies	1
1673	The Association	1
1674	The B-52'S	1
1675	The Babys	1
1676	The Band	1
1677	The Baseballs	1
1678	The Bay City Rollers	1
1679	The Beach Boys	1
1680	The Beatles	1
1681	The Bellamy Brothers	1
1682	The Black Crowes	1
1683	The Black Eyed Peas	1
1684	The Black Keys	1
1685	The Blue Nile	1
1686	The Blues Brothers	1
1687	The Boomtown Rats	1
1688	The Box Tops	1
1689	The Boxer Rebellion	1
1690	The Buoys	1
1691	The Byrds	1
1692	The Cars	1
1693	The Casuals	1
1694	The Cats	1
1695	The Chainsmokers ft Coldplay	1
1696	The Chemical Brothers	1
1697	The Chiffons	1
1698	The Christians	1
1699	The Clash	1
1700	The Classics	1
1701	The Commodores	1
1702	The Common Linnets	1
1703	The Communards	1
1704	The Connells	1
1705	The Contours	1
1706	The Corrs	1
1707	The Cranberries	1
1708	The Crusaders & Randy Crawford	1
1709	The Crystals	1
1710	The Cult	1
1711	The Cure	1
1712	The Dave Brubeck Quartet	1
1713	The Dave Clark Five	1
1714	The Dizzy Man's Band	1
1715	The Doobie Brothers	1
1716	The Doors	1
1717	The Drifters	1
1718	The Easybeats	1
1719	The Equals	1
1720	The Everly Brothers	1
1721	The Flirtations	1
1722	The Floaters	1
1723	The Flower Pot Men	1
1724	The Flying Pickets	1
1725	The Foundations	1
1726	The Four Aces	1
1727	The Four Seasons	1
1728	The Fray	1
1729	The Guess Who	1
1730	The Herd	1
1731	The Hollies	1
1732	The Housemartins	1
1733	The Human League	1
1734	The InCrowd	1
1735	The Isley Brothers	1
1736	The Ivy League	1
1737	The Jacksons	1
1738	The Jacksons & Jackson 5	1
1739	The Jam	1
1740	The Jumping Jewels	1
1741	The Killers	1
1742	The Kinks	1
1743	The Knack	1
1744	The Kooks	1
1745	The Korgis	1
1746	The Les Humphries Singers	1
1747	The Lumineers	1
1748	The Maisonettes	1
1749	The Mamas & The Papas	1
1750	The Manhattan Transfer	1
1751	The Marmalade	1
1752	The Mavericks	1
1753	The Monkees	1
1754	The Moody Blues	1
1755	The Motors	1
1756	The Move	1
1757	The New Seekers	1
1758	The New Shining	1
1759	The Nitty Gritty Dirt Band	1
1760	The Nolan Sisters	1
1761	The O'Jays	1
1762	The Opposites	1
1763	The Osmonds	1
1764	The Pasadenas	1
1765	The People's Choice	1
1766	The Pogues	1
1767	The Police	1
1768	The Pretenders	1
1769	The Pretty Things	1
1770	The Proclaimers	1
1771	The Rascals	1
1772	The Raspberries	1
1773	The Real Thing	1
1774	The Righteous Brothers	1
1775	The Robert Cray Band	1
1776	The Rolling Stones	1
1777	The Ronettes	1
1778	The Royal Guardsmen	1
1779	The Rubettes	1
1780	The Scene	1
1781	The Scorpions	1
1782	The Script	1
1783	The Script & will.i.am	1
1784	The Searchers	1
1785	The Selecter	1
1786	The Shadows	1
1787	The Shirelles	1
1788	The Shirts	1
1789	The Shoes	1
1790	The Shorts	1
1791	The Shuffles	1
1792	The Smiths	1
1793	The Specials	1
1794	The Spencer Davis Group	1
1795	The Spinners	1
1796	The Stories	1
1797	The Stranglers	1
1798	The Supremes	1
1799	The Sweet	1
1800	The Temper Trap	1
1801	The Temptations	1
1802	The Teskey Brothers	1
1803	The The	1
1804	The Tom Robinson Band	1
1805	The Tom Tom Club	1
1806	The Trammps	1
1807	The Tremeloes	1
1808	The Troggs	1
1809	The Turtles	1
1810	The Ventures	1
1811	The Verve	1
1812	The Walker Brothers	1
1813	The Walkers	1
1814	The War On Drugs	1
1815	The Waterboys	1
1816	The Weeknd	0
1817	The Weeknd ft. Daft Punk	0
1818	The White Stripes	1
1819	The Who	1
1820	The Wiz Stars	1
1821	The Yardbirds	1
1822	The Zombies	1
1823	Thelma Houston	0
1824	Them	1
1825	Therapy?	1
1826	Thin Lizzy	1
1827	Third World	1
1828	Thomas Dolby	0
1829	Three Degrees	1
1830	Three Dog Night	1
1831	Thunderclap Newman	1
1832	Tielman Brothers	1
1833	Tim Buckley	0
1834	Tim Finn	0
1835	Tim Hardin	1
1836	Timbaland & OneRepublic	0
1837	Time Bandits	1
1838	Timi Yuro	0
1839	Timmy Thomas	0
1840	Tina Charles	0
1841	Tina Turner	0
1842	Tina Turner & David Bowie	0
1843	Tol Hansse	0
1844	Tom Browne	0
1845	Tom Jones	0
1846	Tom Jones & Art Of Noise	0
1847	Tom Jones & Mousse T.	0
1848	Tom Odell	0
1849	Tom Petty	0
1850	Tom Petty and the Heartbreakers	1
1851	Tom Waits	0
1852	Tom Walker	0
1853	Tommy Dorsey and the Sentimentalists	1
1854	Tommy James and the Shondells	1
1855	Tommy Roe	0
1856	Tones And I	0
1857	Toni Braxton	0
1858	Tony Christie	0
1859	Tony Ronald	0
1860	Toon Hermans	0
1861	Toontje Lager	1
1862	Toots Thielemans	0
1863	Tori Amos	0
1864	Tornados	1
1865	Total Touch	1
1866	Toto	1
1867	Toto Cutugno	0
1868	Tozzi & Raf	1
1869	T'Pau	0
1870	Tracey Ullman	0
1871	Tracy Chapman	0
1872	Traffic	1
1873	Train	1
1874	Traveling Wilburys	1
1875	Triggerfinger	1
1876	Trijntje Oosterhuis	0
1877	Trini Lopez	0
1878	Trinity	1
1879	Trio Hellenique	1
1880	Triumvirat	1
1881	Trockener Kecks	1
1882	Tsjechov	0
1883	Tumbleweeds	1
1884	Twarres	1
1885	Twenty One Pilots	1
1886	Twice As Much	1
1887	Typhoon	1
1888	U2	1
1889	U2 & BB King	1
1890	U2 & Mary J Blige	1
1891	UB40	1
1892	UB40 & Chrissie Hynde	1
1893	UK	1
1894	Ultravox	1
1895	Umberto Tozzi	0
1896	Underworld	1
1897	Unit 4 + 2	1
1898	Unit Gloria	1
1899	Uriah Heep	1
1900	USA for Africa	1
1901	Vader Abraham	0
1902	Valensia	0
1903	Van Dik Hout	1
1904	Van Halen	1
1905	Van McCoy	0
1906	Van Morrison	0
1907	Van Orly	0
1908	Van Velzen	0
1909	Vandenberg's Moonkings	1
1910	Vanessa Carlton	0
1911	Vanessa Carlton & Counting Crows	0
1912	Vanessa Williams	0
1913	Vangelis	0
1914	Vaya con Dios	1
1915	Veldhuis & Kemper	1
1916	Velvet Underground	1
1917	Venice	1
1918	Vera Lynn	0
1919	Veronica Unlimited	1
1920	Vicki Brown & New London Chorale	0
1921	Vicki Sue Robinson	0
1922	Vicky Leandros	0
1923	Village People	1
1924	Viola Wills	0
1925	Visage	1
1926	Vitesse	1
1927	VOF de Kunst	1
1928	Volbeat	1
1929	Volumia!	1
1930	Waldo De Los Rios	0
1931	Walk The Moon	1
1932	Wallace Collection	1
1933	Wally Tax	0
1934	War On Drugs	1
1935	Warm Sounds	1
1936	Wax	1
1937	Waylon	1
1938	Wayne Fontana & the Mindbenders	1
1939	Weather Girls	1
1940	Weezer	1
1941	Wes	0
1942	West Side Story/Leonard Bernstein	0
1943	Wet Wet Wet	1
1944	Wham	1
1945	Whistling Jack Smith	0
1946	WHITE LIES	1
1947	White Plains	1
1948	White Soxx	1
1949	Whitesnake	1
1950	Whitney Houston	0
1951	Wild Cherry	0
1952	Will And The People	1
1953	Will Tura	0
1954	Willeke Alberti	0
1955	Willie Nelson	0
1956	Willie Nelson & Julio Iglesias	0
1957	Wilson Pickett	0
1958	Willy Alberti	0
1959	Wim Sonneveld	0
1960	Windjammer	1
1961	Wings	1
1962	Within Temptation	1
1963	Wolfmother	1
1964	Womack & Womack	1
1965	Won Ton Ton	1
1966	Xavier Rudd	0
1967	XTC	1
1968	Yann Tiersen	0
1969	Yarbrough & Peoples	1
1970	Yazoo	1
1971	Yes	1
1972	Young Gun Silver Fox	1
1973	Youp van 't Hek	0
1974	Youssou N'Dour & Neneh Cherry	0
1975	Yvonne Elliman	0
1976	Zager & Evans	1
1977	Zangeres Zonder Naam	0
1978	Zen	1
1979	Zijlstra	0
1980	Zucchero Fornaciari	0
1981	ZZ en de Maskers	1
1982	ZZ Top	1
