eloadoid	nev	zenekar
147	Ben Howard	0
148	Ben Saunders	0
149	Benny Neyman	0
150	Berlin	1
151	Bert Kaempfert	0
152	Bertolf	0
153	Beth Hart	0
154	Beth Hart & Joe Bonamassa	0
155	Bette Midler	0
156	BEVERLY CRAVEN	0
157	Beyoncé	0
158	Beyoncé ft. Jay-Z	0
159	Big Wheel	1
160	Bill & Buster	1
161	Bill Haley & His Comets	1
162	Bill Medley & Jennifer Warnes	0
163	Bill Withers	0
164	Billie Eillish	0
165	Billie Holiday	0
166	Billy Idol	0
167	Billy J. Kramer & The Dakotas	0
168	Billy Jo Spears	0
169	Billy Joe Royal	0
170	Billy Joel	0
171	Billy Ocean	0
172	Billy Paul	0
173	Billy Preston	0
174	Billy Stewart	0
175	Billy Swan	0
176	Billy Vaughn Orchestra	1
177	Bing Crosby	0
178	Bing Crosby & Grace Kelly	0
179	Bintangs	1
180	Birdy	0
181	BJ Thomas	0
182	Björk	0
183	Black	0
184	Black Sabbath	1
185	Blackstreet ft. Dr. Dre	1
186	Blaudzun	0
187	Blind Faith	1
188	Blind Melon	1
189	BLINK 182	1
190	Bloem	0
191	BLØF	1
192	BLØF & Geike	1
193	Bløf & Nielson	1
194	BLøF ft. Ilse DeLange	1
195	Blondie	1
196	Blood Sweat & Tears	1
197	Blue Cheer	1
198	Blue Diamonds	1
199	Blue Haze	1
200	Blue Mink	1
201	Blue Öyster Cult	1
202	Blur	1
203	Bob & Earl	1
204	Bob Carlisle	0
205	Bob Dylan	1
206	Bob Marley & The Wailers	1
207	Bob Moore	0
208	Bob Seger	0
209	Bob Seger & The Silver Bullet Band	0
210	Bobbie Gentry	0
211	Bobby Brown	0
212	Bobby Goldsboro	0
213	Bobby McFerrin	0
214	Bobby Rydell	0
215	Bobby Vinton	0
216	Bojoura	0
217	Bolland & Bolland	1
218	BOMFUNK MC'S	1
219	Bon Jovi	1
220	Boney M	1
221	Bonnie Raitt	0
222	Bonnie St. Claire	0
223	Bonnie Tyler	0
224	Booker T. & The MG's	1
225	Boris Gardiner	0
226	Boston	1
227	Bots	1
228	Boudewijn de Groot	1
229	Boys Town Gang	1
230	Boyzone	1
231	Boz Scaggs	0
232	Bökkers	1
233	Brainbox	1
234	Bram Tchaikovsky	0
235	Bram Vermeulen	0
236	Bread	1
237	Brenda Lee	0
238	Brian Hyland	0
239	Brian May	0
240	Brighouse and Rastrick Brass Band	1
241	Brigitte Kaandorp & Herman Finkers	0
242	Britney Spears	0
243	Bronski Beat	1
244	Brooke Fraser	0
245	Brotherhood of man	1
246	Bruce Hornsby & The Range	1
247	Bruce Springsteen	0
248	Bruno Mars	0
249	Bryan Adams	0
250	Bryan Adams & Barbra Streisand	0
251	Bryan Adams & Melanie C	0
252	Bryan Adams & Tina Turner	0
253	Bryan Adams, Rod Stewart & Sting	0
254	Bryan Ferry	0
255	Bucks Fizz	1
256	Buckshot Lefonque	1
257	Buddy Holly	0
258	Buena Vista Social Club	1
259	Buffalo Springfield	1
260	Buffoons	1
261	Buggles	1
262	BUSH	1
263	BZN	1
264	C. Jérome	0
265	Calum Scott	0
266	Calvin Harris	0
267	Calvin Harris ft. Dua Lipa	0
268	Camila Cabello ft. Young Thug	0
269	Candlewick Green	0
270	Candy Dulfer & Dave Stewart	0
271	Canned Heat	0
272	Captain & Tennille	0
273	Carel Kraayenhof	0
274	Carl Douglas	0
275	Carly Rae Jepsen	0
276	Carly Simon	0
277	Caro Emerald	0
278	Carole King	0
279	Carpenters	1
280	Cashmere	0
281	Cat Stevens	0
282	Cat Stevens, Ronan Keating	0
