id	nev
502	Matty
503	Mátyus
504	Máza
505	Mecseknádasd
506	Mecsér
507	Medina
508	Megyaszó
509	Mencshely
510	Mesteri
511	Mesterszállás
512	Mesztegnyő
513	Mezőcsát
514	Mezőcsokonya
515	Mezőgyán
516	Mezőkeresztes
517	Mezőnagymihály
518	Mezőpeterd
519	Mezősas
520	Mezőtúr
521	Mindszent
522	Mindszentkálla
523	Miskolc
524	Mogyoróska
525	Mohács
526	Molnári
527	Mónosbél
528	Monostorapáti
529	Monostorpályi
530	Monoszló
531	Mór
532	Mosonmagyaróvár
533	Mözs
534	Murakeresztúr
535	Murarátka
536	Muraszemenye
537	Nábrád
538	Nádasd
539	Nádudvar
540	Nagyar
541	Nagybajom
542	Nagybaracska
543	Nagybárkány
544	Nagybörzsöny
545	Nagycenk
546	Nagydorog
547	Nagyér
548	Nagygeresd
549	Nagygörbő
550	Nagyharsány
551	Nagyhegyes
552	Nagyhódos
553	Nagyhuta
554	Nagyiván
555	Nagykáta
556	Nagykereki
557	Nagykeresztúr
558	Nagykovácsi
559	Nagykörű
560	Nagylóc
561	Nagymaros
562	Nagyoroszi
563	Nagyrábé
564	Nagyrada
565	Nagyrákos
566	Nagyrév
567	Nagyszentjános
568	Nagyút
569	Nagyvisnyó
570	Négyes
571	Nekézseny
572	Nemesgulács
573	Nemeshany
574	Nemesmedves
575	Nemesvita
576	Németbánya
577	Németkér
578	Neszmély
579	Nógrád
580	Nyergesújfalu
581	Nyírábrány
582	Nyíracsád
583	Nyirád
584	Nyíri
585	Nyúl
586	Óbánya
587	Óbudavár
588	Ócsa
589	Olaszliszka
590	Olcsvaapáti
591	Old
592	Ópusztaszer
593	Orfalu
594	Orfű
595	Orgovány
596	Orosháza
597	Oroszlány
598	Osli
599	Őcsény
600	Öcsöd
601	Őr
602	Őriszentpéter
603	Őrtilos
604	Örvényes
605	Páhi
606	Pákozd
607	Paks
608	Pálmonostora
609	Paloznak
610	Pankasz
611	Pannonhalma
612	Panyola
613	Pápa
614	Pápakovácsi
615	Pápateszér
616	Páprád
617	Parád
618	Parádsasvár
619	Parasznya
620	Paszab
621	Pásztó
622	Patak
623	Patca
624	Páty
625	Pécel
626	Pécsely
627	Pécsvárad
628	Pély
629	Pénzesgyőr
630	Penyige
631	Perbál
632	Perkupa
633	Perőcsény
634	Péterhida
635	Petőfiszállás
636	Pilisborosjenő
637	Piliscsaba
638	Pilismarót
639	Pilisszántó
640	Pilisszentiván
641	Pilisszentkereszt
642	Pilisszentlászló
643	Pilisszentlélek
644	Piskó
645	Pocsaj
646	Pócsmegyer
647	Polgár
648	Pomáz
649	Poroszló
650	Porrogszentkirály
651	Potony
652	Pörböly
653	Pusztaegres
654	Pusztafalu
655	Pusztaszer
656	Pusztavacs
657	Pusztavám
658	Püski
659	Püspökladány
660	Rábagyarmat
661	Rácalmás
662	Ráckeve
663	Rajka
664	Rákóczifalva
665	Rákócziújfalu
666	Raposka
667	Rátót
668	Ravazd
669	Recsk
670	Regéc
671	Regöly
672	Répáshuta
673	Répceszemere
674	Révfülöp
675	Rezi
676	Rinyaszentkirály
677	Salföld
678	Salgótarján
679	Sály
680	Sámod
681	Sámsonháza
682	Sándorfalva
683	Sáp
684	Sáránd
685	Sárbogárd
686	Sáregres
687	Sárkeresztúr
688	Sárkeszi
689	Sármellék
690	Sárospatak
691	Sarród
692	Sárszentágota
693	Sárszentmihály
694	Sarud
695	Sárvár
696	Sáta
697	Sátoraljaújhely
698	Sátorhely
699	Sávoly
700	Seregélyes
701	Serényfalva
702	Sirok
703	Sokorópátka
704	Solymár
705	Somlójenő
706	Somlószőlős
707	Somlóvásárhely
708	Somogyhárságy
709	Somogyszentpál
710	Somogyudvarhely
711	Somogyvár
712	Sonkád
713	Soponya
714	Sopron
715	Sóshartyán
716	Sükösd
717	Sülysáp
718	Sümeg
719	Süttő
720	Szabadkígyós
721	Szabadszállás
722	Szada
723	Szajol
724	Szakadát
725	Szakmár
726	Szaknyér
727	Szakonyfalu
728	Szalafő
729	Szalonna
730	Szaporca
731	Szár
732	Szarvas
733	Szarvaskő
734	Szászvár
735	Szatta
736	Szatymaz
737	Szedres
738	Szeged
739	Szeghalom
740	Szegi
741	Székesfehérvár
742	Székkutas
743	Szekszárd
744	Szeleste
745	Szelevény
746	Szendrő
747	Szendrőlád
748	Szenna
749	Szenta
750	Szentantalfa
751	Szentbékkálla
752	Szentborbás
753	Szentdomonkos
754	Szentegát
755	Szentendre
756	Szentes
757	Szentgál
758	Szentgotthárd
759	Szentgyörgyvölgy
760	Szentistván
761	Szentjakabfa
762	Szentmártonkáta
763	Szeremle
764	Szigetmonostor
765	Szigliget
766	Szilvásvárad
767	Szin
768	Szinpetri
769	Szob
770	Szokolya
771	Szolnok
772	Szombathely
773	Szomód
774	Szomolya
775	Szőce
776	Sződ
777	Sződliget
778	Szögliget
779	Szőkedencs
780	Szuhafő
781	Tabdi
782	Tác
783	Tagyon
784	Tahitótfalu
785	Tákos
786	Tállya
787	Tamási
788	Tápióbicske
789	Tápiógyörgye
790	Tápióság
791	Tápiószecső
792	Tápiószentmárton
793	Tapolca
794	Tarcal
795	Tard
796	Tardos
797	Tarján
798	Tarjánpuszta
799	Tarnalelesz
800	Tarnaméra
801	Tarnaszentmiklós
802	Tarnazsadány
803	Tarpa
804	Táska
805	Tata
806	Tatabánya
807	Tatárszentgyörgy
808	Telki
809	Telkibánya
810	Tengelic
811	Tényő
812	Tépe
813	Teresztenye
814	Tésenfa
815	Tetétlen
816	Tihany
817	Tiszaalpár
818	Tiszabábolna
819	Tiszabercel
820	Tiszabő
821	Tiszabura
822	Tiszacsege
823	Tiszacsermely
824	Tiszadob
825	Tiszadorogma
826	Tiszaföldvár
827	Tiszafüred
828	Tiszaigar
829	Tiszainoka
830	Tiszajenő
831	Tiszakarád
832	Tiszakécske
833	Tiszakerecseny
834	Tiszakeszi
835	Tiszakóród
836	Tiszakürt
837	Tiszaladány
838	Tiszalúc
839	Tiszanána
840	Tiszapüspöki
841	Tiszaroff
842	Tiszasas
843	Tiszasüly
844	Tiszatelek
845	Tiszaug
846	Tiszaújváros
847	Tiszavalk
848	Tiszavárkony
849	Tiszavasvári
850	Tisztaberek
851	Tivadar
852	Tokaj
853	Told
854	Tolna
855	Tornakápolna
856	Tornanádaska
857	Tornaszentandrás
858	Tótkomlós
859	Tótszerdahely
860	Tótújfalu
861	Tótvázsony
862	Tömörkény
863	Törökszentmiklós
864	Trizs
865	Tura
866	Túristvándi
867	Túrkeve
868	Túrricse
869	Udvar
870	Ugod
871	Újkígyós
872	Újléta
873	Újlőrincfalva
874	Újrónafő
875	Újszász
876	Újszentmargita
877	Uppony
878	Úrkút
879	Vác
880	Vácegres
881	Vácrátót
882	Vácszentlászló
883	Vaja
884	Vajdácska
885	Vajszló
886	Vajta
887	Valkó
888	Vállus
889	Vámoscsalád
890	Vámosmikola
891	Vámospércs
892	Váncsod
893	Váralja
894	Váraszó
895	Varbó
896	Varbóc
897	Várpalota
898	Várvölgy
899	Vászoly
900	Vasszentmihály
901	Vejti
902	Vékény
