ev	sorrend	orszag	nyelv	eloado	eredeti	magyar	helyezes	pontszam
2003	23	Észtország	angol	Ruffus	Eighties Coming Back	Visszatérnek a nyolcvanas évek	21	14
2002	24	Litvánia	angol	Aivaras	Happy You	A boldog te	23	12
1993	13	Svédország	svéd	Arvingarna	Eloise	Alojzia	7	89
1965	14	Dánia	dán	Birgit Brüel	For din skyld	A Te kedvedért	7	10
2011	4	Litvánia	angol, francia	Evelina Sašenko	C'est ma vie	Ez az életem	19	63
1981	20	Svédország	svéd	Björn Skifs	Fångad i en dröm	Egy álom rabságában	10	50
2002	17	Franciaország	francia	Sandrine François	Il faut du temps (Je me battrai pour ça)	Idő kell (Harcolni fogok érte)	5	104
1994	2	Finnország	finn	CatCat	Bye Bye Baby	Viszlát bébi	22	11
1996	2	Egyesült Királyság	angol	Gina G	Ooh Aah… Just a Little Bit	Uh, ah, még egy kicsit	8	77
1990	21	Ciprus	görög	Anasztászio	Milász polí	Túl sokat beszélsz	14	36
1961	1	Spanyolország	spanyol	Conchita Bautista	Estando contigo	Amikor veled vagyok	9	8
1959	8	Svájc	német	Christa Williams	Irgendwoher	Valahonnan	4	14
1970	4	Jugoszlávia	szlovén	Eva Sršen	Pridi, dala ti bom cvet	Gyere, adok neked egy virágot	11	4
2000	7	Málta	angol, máltai	Claudette Pace	Desire	Vágy	8	73
1987	5	Belgium	holland	Liliane Saint-Pierre	Soldiers of Love	A szerelem katonái	11	56
2010	20	Oroszország	angol	Peter Nalitch & Friends	Lost and Forgotten	Elveszve és elfelejtve	11	90
1993	6	Görögország	görög	Keti Garbi	Ellada, hora tou fotos	Görögország, a fények földje	9	64
1983	20	Luxemburg	francia	Corinne Hermès	Si la vie est cadeau	Ha az élet ajándék	1	142
1974	4	Norvégia	angol	Anne-Karine Strøm és Bendik Singers	The First Day of Love	A szerelem első napja	14	3
1994	13	Hollandia	holland	Willeke Alberti	Waar is de zon?	Hol van a nap?	23	4
1991	9	Franciaország	francia	Amina	Le dernier qui a parlé	Az utolsó, aki beszél	2	146
1987	4	Izland	izlandi	Halla Margrét	Hægt og hljótt	Lassan és halkan	16	28
1991	17	Németország	német	Atlantis 2000	Dieser Traum darf niemals sterben	Ennek az álomnak sose szabad véget érnie	18	10
1984	17	Svájc	német	Rainy Day	Welche Farbe hat der Sonnenschein?	Milyen színű a napfény?	16	30
1974	5	Görögország	görög	Marinella	Krasí, thálassa ke t' agóri mu	A bor, a tenger, és a barátom	11	7
1995	13	Magyarország	magyar	Szigeti Csaba	Új név a régi ház falán	—	22	3
2001	16	Egyesült Királyság	angol	Lindsay Dracass	No Dream Impossible	Nincs lehetetlen álom	15	28
1978	14	Monaco	francia	Caline és Olivier Toussaint	Les jardins de Monaco	Monaco kertjei	4	107
1998	13	Írország	angol	Dawn Martin	Is Always Over Now?	Most ér véget az öröklét?	9	64
1980	5	Marokkó	arab	Szamíra Benszaid	Bitakat hob	Szerelmeslevél	18	7
1980	15	Hollandia	holland	Maggie MacNeal	Amsterdam	Amszterdam	5	93
1974	7	Jugoszlávia	szerbhorvát	Korni grupa	Moja generacija	Az én nemzedékem	12	6
1998	1	Horvátország	horvát	Danijela	Neka mi ne svane	A hajnal talán sosem jön el	5	131
1960	4	Dánia	dán	Katy Bødtger	Det var en yndig tid	Kellemes idő volt	10	4
2009	13	Moldova	román, angol	Nelly Ciobanu	Hora din Moldova	Moldovai tánc	14	68
1977	8	Portugália	portugál	Os Amigos	Portugal no coração	Portugália a szívemben	14	18
1962	4	Ausztria	német	Eleonore Schwarz	Nur in der Wiener Luft	Csak a bécsi levegőben	13	0
1987	16	Németország	német	Wind	Lass die Sonne in dein Herz	Engedd a Napot a szívedbe	2	141
1984	11	Hollandia	holland	Maribelle	Ik hou van jou	Szeretlek	13	34
1992	15	Ausztria	német	Tony Wegas	Zusammen geh'n	Menjünk együtt	10	63
1993	15	Luxemburg	francia, luxemburgi	Modern Times	Donne-moi une chance	Adj nekem egy esélyt	20	11
1990	11	Dánia	dán	Lonnie Devantier	Hallo Hallo	Halló, halló	8	64
1980	18	Spanyolország	spanyol	Trigo Limpio	Quédate esta noche	Maradj ma éjjel	12	38
2010	1	Azerbajdzsán	angol	Safura	Drip Drop	Csipp-csöpp	5	145
1983	14	Németország	német	Hoffmann és Hoffmann	Rücksicht	Figyelmesség	5	94
2009	23	Egyesült Királyság	angol	Jade Ewen	It’s My Time	Itt az én időm	5	173
1981	4	Luxemburg	francia	Jean-Claude Pascal	C'est peut-être pas l'Amérique	Ez talán nem Amerika	11	41
