ev	sorrend	orszag	nyelv	eloado	eredeti	magyar	helyezes	pontszam
1985	14	Egyesült Királyság	angol	Vikki	Love Is	A szerelem...	4	100
1988	8	Izrael	héber	Yardena Arazi	Ben Adam	Emberi lény	7	85
1972	13	Jugoszlávia	szerbhorvát	Tereza Kesovija	Muzika i ti	A zene és Te	9	87
1993	8	Málta	angol	William Mangion	This Time	Ez alkalommal	8	69
1989	2	Izrael	héber	Gili és Galit	Derech hamelech	A király útja	12	50
1996	4	Portugália	portugál	Lúcia Moniz	O meu coração não tem cor	A szívemnek nincsen színe	6	92
2004	16	Görögország	angol	Sakis Rouvas	Shake It	Rázzad	3	252
1975	10	Málta	angol	Renato	Singing This Song	Énekelni e dalt	12	32
2003	11	Oroszország	orosz	t.A.T.u.	Ne ver', ne boysia	Ne higgy, ne félj!	3	164
1969	10	Belgium	holland	Louis Neefs	Jennifer Jennings	—	7	10
2011	1	Finnország	angol	Paradise Oskar	Da da dam	—	21	57
2011	13	Svájc	angol	Anna Rossinelli	In Love for a While	Egy ideig szerelmesen	25	19
1990	2	Görögország	görög	Christos Callow & Wave	Horísz szkopó	Céltalanul	19	11
1972	2	Franciaország	francia	Betty Mars	Comé-comédie	Komé-komédia	11	81
1978	11	Hollandia	holland	Harmony	't Is OK	Rendben van	13	37
1978	9	Svájc	francia	Carole Vinci	Vivre	Élni	9	65
2007	4	Írország	angol	Dervish	They Can't Stop The Spring	Nem tudják megállítani a tavaszt	24	5
1967	6	Svájc	francia	Géraldine	Quel cœur vas-tu briser?	Kinek a szívét fogod összetörni?	17	0
1978	19	Ausztria	német	Springtime	Mrs. Caroline Robinson	—	15	14
2004	23	Románia	angol	Sanda	I Admit	Bevallom	18	18
1995	17	Ciprus	görög	Alexandros Panayi	Sti fotia	A tűzben	9	79
1998	19	Svédország	svéd	Jill Johnson	Kärleken är	A szerelem...	10	53
1975	4	Németország	német, angol	Joy Fleming	Ein Lied kann eine Brücke sein	Híd lehet egy dal	17	15
2009	6	Portugália	portugál	Flor-de-lis	Todas as ruas do amor	A szerelem minden utcája	15	57
1988	3	Finnország	finn	Boulevard	Nauravat silmät muistetaan	A nevető szemekre emlékeznek	20	3
2006	19	Franciaország	francia	Virginie Pouchain	Il était temps	Ideje volt	22	5
1975	13	Törökország	török	Semiha Yankı	Seninle Bir Dakika	Egy perc veled	19	3
1991	14	Norvégia	norvég	Just 4 Fun	Mrs. Thompson	Thompsonné	17	14
1976	4	Izrael	héber	Chocolate Menta Mastik	Emor Salom	Köszönj	6	77
1982	17	Írország	angol	The Duskeys	Here Today Gone Tomorrow	Ma itt, holnap máshol	11	49
1986	19	Finnország	finn	Kari Kuivalainen	Never The End	Sosem ér véget	15	22
2003	4	Törökország	angol	Sertab Erener	Everyway That I Can	Mindenféleképpen	1	167
1996	11	Észtország	észt	Maarja-Liis Ilus és Ivo Linna	Kaelakee hääl	Nyaklánc hangja	5	94
2000	6	Románia	angol	Taxi	The Moon	A hold	17	25
2008	5	Örményország	angol, örmény	Sirusho	Qele qele	Gyere, gyere	4	199
1998	6	Szlovákia	szlovák	Katarína Hasprová	Modlitba	Imádság	21	8
2000	2	Hollandia	angol	Linda	No Goodbyes	Nincs búcsúzás	13	40
1989	13	Ausztria	német	Thomas Forstner	Nur ein Lied	Csak egy dal	5	97
2007	20	Románia	angol, olasz, spanyol, orosz, francia, román	Todomondo	Liubi, Liubi, I Love You	Szerelem, szerelem, szeretlek	13	84
1976	14	Ausztria	angol	Waterloo és Robinson	My Little World	Az én kis világom	5	80
1990	1	Spanyolország	spanyol	Azúcar Moreno	Bandido	Bandita	5	96
2007	21	Bulgária	bolgár	Elitsa Todorova és Stoyan Yankulov	Water	Víz	5	157
1975	3	Franciaország	francia	Nicole Rieu	Et bonjour à toi l'artiste	Jó napot neked, művész	4	91
1985	11	Izrael	héber	Izhar Cohen	Olé, Olé	Fel, fel	5	93
2008	15	Svédország	angol	Charlotte Perrelli	Hero	Hős	18	47
2002	3	Ausztria	angol	Manuel Ortega	Say a Word	Mondj egy szót	18	26
1979	14	Hollandia	holland	Xandra	Colorado	Colorado	12	51
1963	13	Svédország	svéd	Monica Zetterlund	En gång i Stockholm	Egyszer Stockholmban	13	0
1962	8	Hollandia	holland	De Spelbrekers	Katinka	—	13	0
1968	3	Belgium	francia	Claude Lombard	Quand tu reviendras	Amikor visszajössz	7	8
2011	5	Magyarország	angol, magyar	Wolf Kati	What About My Dreams?	Mi van az álmaimmal?	22	53
1988	16	Belgium	francia	Reynaert	Laissez briller le soleil	Hadd süssön a Nap	18	5
1991	11	Írország	angol	Kim Jackson	Could It Be That I'm In Love	Lehet, hogy szerelmes vagyok?	10	47
1969	5	Írország	angol	Muriel Day	The Wages of Love	A szerelem ára	7	10
2008	9	Horvátország	horvát	Kraljevi ulice és 75 cents	Romanca	Romantika	21	44
2003	21	Lettország	angol	F.L.Y.	Hello From Mars	Üdvözlet a Marsról	24	5
1996	15	Hollandia	holland	Maxine és Franklin Brown	De eerste keer	Az első alkalom	7	78
1964	1	Luxemburg	francia	Hugues Aufray	Dès que le printemps revient	Amikor visszatér a tavasz	4	14
1998	15	Románia	román	Mălina Olinescu	Eu cred	Hiszem	22	6
1977	12	Svájc	német	Pepe Lienhard Band	Swiss Lady	Svájci hölgy	6	71
1960	1	Egyesült Királyság	angol	Bryan Johnson	Looking High, High, High	Nézni fel, fel, fel	2	25
2008	13	Portugália	portugál	Vânia Fernandes	Senhora do mar (Negras águas)	A tenger asszonya (Sötét vizek)	13	69
1979	1	Portugália	portugál	Manuela Bravo	Sobe, sobe, balão sobe	Szállj, szállj, léggömb, szállj	9	64
1993	10	Ausztria	német	Tony Wegas	Maria Magdalena	Mária Magdolna	14	32
1993	5	Dánia	dán	Tommy Seebach	Under stjernerne på himlen	Az ég csillagai alatt	22	9
1996	3	Spanyolország	spanyol	Antonio Carbonell	¡Ay, qué deseo!	Ó, micsoda vágy!	20	17
1976	18	Jugoszlávia	szerbhorvát	Ambasadori	Ne mogu skriti svoju bol	Nem tudom elrejteni a fájdalmamat	17	10
1965	8	Belgium	holland	Lize Marke	Als het weer lente is	Amikor újra tavasz lesz	15	0
1961	13	Dánia	dán	Dario Campeotto	Angelique	Angelika	5	12
1966	4	Luxemburg	francia	Michèle Torr	Ce soir je t'attendais	Ma este vártalak	10	7
1969	3	Spanyolország	spanyol	Salomé	Vivo cantando	Az éneklésnek élek	1	18
1968	8	Svédország	svéd	Claes-Göran Hederström	Det börjar verka kärlek, banne mej	Ez kezd szerelem lenni, a francba	5	15
1998	24	Törökország	török	Tüzmen	Unutamazsın	Nem tudsz felejteni	14	25
1974	16	Portugália	portugál	Paulo de Carvalho	E depois do adeus	És a búcsú után	14	3
2013	26	Írország	angol	Ryan Dolan	Only Love Survives	Csak a szerelem éli túl	26	5
1993	11	Portugália	portugál	Anabela	A cidade (até ser dia)	A város (hajnalig)	10	60
2003	1	Izland	angol	Birgitta	Open Your Heart	Tárd ki a szívedet	8	81
1985	5	Spanyolország	spanyol	Paloma San Basilio	La fiesta terminó	A partinak vége	14	36
2002	23	Lettország	angol	Marie N	I Wanna	Akarok...	1	176
2012	12	Norvégia	angol	Tooji	Stay	Maradj!	26	7
2003	18	Norvégia	angol	Jostein Hasselgård	I'm Not Afraid To Move On	Nem félek továbblépni	4	123
1978	15	Görögország	görög	Tania Tsanaklidou	Charlie Chaplin	Charlie Chaplin	8	66
2011	17	Románia	angol	Hotel FM	Change	Változtatni	17	77
1986	17	Svédország	svéd	Lasse Holm és Monica Törnell	E' de' det här du kallar kärlek?	Ez az amit te szerelemnek hívsz?	5	78
1994	22	Magyarország	magyar	Friderika	Kinek mondjam el vétkeimet?	—	4	122
1975	7	Svájc	német	Simone Drexel	Mikado	Mikádó	6	77
2009	20	Norvégia	angol	Alexander Rybak	Fairytale	Tündérmese	1	387
2004	3	Norvégia	angol	Knut Anders Sørum	High	Fent	24	3
1973	15	Egyesült Királyság	angol	Cliff Richard	Power to All Our Friends	Hatalmat minden barátunknak	3	123
1988	4	Egyesült Királyság	angol	Scott Fitzgerald	Go	Menj	2	136
2001	8	Litvánia	angol, litván	SKAMP	You Got Style	Van stílusod	13	35
2012	23	Írország	angol	Jedward	Waterline	Vízpart	19	46
2002	19	Törökország	török, angol	Buket Bengisu & Group Safir	Leylaklar Soldu Kalbinde	Orgonák hervadtak el a szívedben	16	29
1984	5	Norvégia	norvég	Dollie de Luxe	Lenge leve livet	Éljen soká az élet	17	29
1983	1	Franciaország	francia	Guy Bonnet	Vivre	Élni	8	56
1973	17	Izrael	héber	Ilanit	É sam	Valahol	4	97
1999	18	Ausztria	angol	Bobbie Singer	Reflection	Tükörkép	10	65
2012	6	Oroszország	udmurt, angol	Buranovszkije Babuski	Party for Everybody	Buli mindenkinek	2	259
1974	17	Olaszország	olasz	Gigliola Cinquetti	Sì	Igen	2	18
1975	2	Írország	angol	The Swarbriggs	That's What Friends Are For	Erre valók a barátok	9	68
1985	1	Írország	angol	Maria Christian	Wait Until the Weekend Comes	Várj, amíg eljön a hétvége	6	91
1981	8	Finnország	finn	Riki Sorsa	Reggae OK	—	16	27
1989	18	Svájc	romans	Furbaz	Viver senza tei	Nélküled élni	13	47
2008	2	Egyesült Királyság	angol	Andy Abraham	Even If	Akkor is, ha	25	14
2004	7	Hollandia	angol	Re-union	Without You	Nélküled	20	11
1960	10	Hollandia	holland	Rudi Carrell	Wat een geluk	Micsoda szerencse	12	2
1988	6	Spanyolország	spanyol	La Década Prodigiosa	La chica que yo quiero (Made in Spain)	A lány, akit akarok (Spanyolországban készült)	11	58
1994	4	Ciprus	görög	Evridiki	Ime anthropos ki ego	Én is ember vagyok	11	51
2006	23	Törökország	török, angol	Sibel Tüzün	Süper star	Szupersztár	11	91
1986	16	Ausztria	német	Timna Brauer	Die Zeit ist einsam	Az idő magányos	18	12
2004	18	Írország	angol	Chris Doran	If My World Stopped Turning	Ha a világom nem forogna tovább	22	7
2012	16	Görögország	angol	Elefthería Eleftheríu	Aphrodisiac	Vágyfokozó	17	64
1984	3	Franciaország	francia	Annick Thoumazeau	Autant d'amoureux que d'étoiles	Annyi szerelmes, ahány csillag	8	61
1963	8	Dánia	dán	Grethe és Jørgen Ingmann	Dansevise	Táncdal	1	42
1997	4	Ausztria	német	Bettina Soriat	One Step	Egy lépés	21	12
1976	3	Németország	német	Les Humphries Singers	Sing Sang Song	Dalold a dalt	15	12
1962	7	Németország	német	Conny Froboess	Zwei kleine Italiener	Két kis olasz	6	9
1979	12	Belgium	holland	Micha Marah	Hey Nana	Hé, Nana	18	5
1983	4	Svédország	svéd	Carola Häggkvist	Främling	Idegen	3	126
1978	16	Dánia	dán	Mabel	Boom Boom	Bumm bumm	16	13
1965	10	Svédország	angol	Ingvar Wixell	Absent Friends	Barátok hiánya	10	6
2011	16	Németország	angol	Lena	Taken by a Stranger	Egy idegen vitt el	10	107
1963	3	Németország	német	Heidi Brühl	Marcel	Marcell	9	5
1971	13	Írország	angol	Angela Farrell	One Day Love	Egynapos szerelem	11	79
1985	13	Norvégia	norvég	Bobbysocks!	La det swinge	Engedd ringatózni	1	123
1965	6	Ausztria	német	Udo Jürgens	Sag ihr, ich lass sie grüßen	Mondd meg neki, hogy üdvözlöm	4	16
1983	18	Ausztria	német	Westend	Hurricane	Forgószél	9	53
1992	17	Írország	angol	Linda Martin	Why Me?	Miért én?	1	155
1984	1	Svédország	svéd	Herreys	Diggi-Loo Diggi-Ley	—	1	145
1984	2	Luxemburg	francia	Sophie Carle	100% d'amour	100% szerelem	10	39
1969	8	Hollandia	holland	Lenny Kuhr	De troubadour	A trubadúr	1	18
1970	5	Belgium	francia	Jean Vallée	Viens l'oublier	Gyere, felejtsd el őt	8	5
1959	1	Franciaország	francia	Jacques Philippe	Oui, oui, oui, oui	Igen, igen, igen, igen	3	15
2006	21	Írország	angol	Brian Kennedy	Every Song Is a Cry for Love	Minden dal könyörgés a szerelemért	10	93
1999	16	Portugália	portugál	Rui Bandeira	Como tudo começou	Hogyan kezdődött minden	21	12
1980	8	Svédország	svéd	Tomas Ledin	Just nu!	Most rögtön!	10	47
1957	9	Dánia	dán	Birthe Wilke és Gustav Winckler	Skibet skal sejle i nat	Ma éjjel indul a hajó	3	10
2009	7	Izland	angol	Yohanna	Is It True?	Igaz-e?	2	218
1968	5	Luxemburg	francia	Chris Baldo és Sophie Garel	Nous vivrons d'amour	A szerelem fog éltetni minket	11	5
1967	12	Spanyolország	spanyol	Raphael	Hablemos del amor	Beszéljünk a szerelemről	6	9
2012	20	Németország	angol	Roman Lob	Standing Still	Mozdulatlan	8	110
1992	2	Belgium	francia	Morgane	Nous, on veut des violons	Hegedűket akarunk	20	11
1996	21	Bosznia-Hercegovina	bosnyák	Amila Glamočak	Za našu ljubav	Szerelmünkért	22	13
1970	2	Svájc	francia	Henri Dès	Retour	Visszatérés	4	8
1966	2	Dánia	dán	Ulla Pia	Stop - mens legen er go'	Állj meg, amíg jó az út	14	4
1966	10	Svédország	svéd	Lill Lindfors és Svante Thuresson	Nygammal vals	Régi-új keringő	2	16
1961	9	Franciaország	francia	Jean-Paul Mauric	Printemps (Avril carillonne)	Tavasz, április csenget	4	13
1986	10	Svájc	francia	Daniela Simmons	Pas pour moi	Nem nekem	2	140
1972	9	Málta	máltai	Helen és Joseph	L-imħabba	Szerelem	18	48
1984	19	Portugália	portugál	Maria Guinot	Silêncio e tanta gente	Csend, és oly sok ember	11	38
1987	15	Franciaország	francia	Christine Minier	Les mots d'amour n'ont pas de dimanche	A szerelmes szavaknak nincs vasárnapja	14	44
2013	19	Izland	izlandi	Eythor Ingi	Ég á líf	Élek	17	47
2002	4	Görögország	angol	Michalis Rakintzis	S.A.G.A.P.O.	SZ.E.R.E.T.L.E.K.	17	27
1979	3	Dánia	dán	Tommy Seebach	Disco Tango	Diszkó tangó	6	76
1987	13	Luxemburg	francia	Plastic Bertrand	Amour, Amour	Szerelem, szerelem	21	4
1997	19	Magyarország	magyar	V.I.P.	Miért kell, hogy elmenj?	—	12	39
2001	20	Észtország	angol	Tanel Padar, Dave Benton & 2XL	Everybody	Mindenki	1	198
1987	3	Ausztria	német	Gary Lux	Nur noch Gefühl	Csak érzések	20	8
1972	15	Monaco	francia	Anne-Marie Godart és Peter MacLane	Comme on s'aime	Ahogy szeretjük egymást	16	65
2004	6	Málta	angol	Julie és Ludwig	On Again… Off Again	Bekapcs...Kikapcs	12	50
1983	12	Jugoszlávia	szerbhorvát	Danijel	Džuli	Juli	4	125
1963	5	Norvégia	norvég	Anita Thallaug	Solhverv	Napforduló	13	0
1999	17	Írország	angol	The Mullans	When You Need Me	Amikor szükséged van rám	17	18
2003	15	Egyesült Királyság	angol	Jemini	Cry Baby	Sírj, bébi	26	0
1993	24	Izrael	héber, angol	Sharah'le Sharon & The Shiru Group	Shiru	Énekelj!	24	4
1971	6	Spanyolország	spanyol	Karina	En un mundo nuevo	Egy új világban	2	116
2007	12	Svédország	angol	The Ark	The Worrying Kind	Az aggódó típus	18	51
2006	9	Dánia	angol	Sidsel Ben Semmane	Twist of Love	A szerelem sodrása	18	26
1996	18	Finnország	finn	Jasmine	Niin kaunis on taivas	Milyen szép az égbolt	23	9
2009	17	Németország	angol	Alex Swings! Oscar Sings!	Miss Kiss Kiss Bang	Csók bomba	20	35
1961	3	Ausztria	német	Jimmy Makulis	Sehnsucht	Vágyódás	15	1
1992	9	Ciprus	görög	Evridiki	Teriazoume	Hasonlítunk	11	57
1974	3	Spanyolország	spanyol	Peret	Canta y sé feliz	Énekelj és légy boldog	9	10
1988	20	Portugália	portugál	Dora	Voltarei	Visszatérek	18	5
1966	16	Hollandia	holland	Milly Scott	Fernando en Filippo	Ferdinánd és Fülöp	15	2
1995	10	Törökország	török	Arzu Ece	Sev!	Szeress!	16	27
1999	12	Lengyelország	lengyel	Mietek Szczesniak	Przytul mnie mocno	Ölelj át szorosan	18	17
2002	21	Románia	angol	Monica Anghel és Marcel Pavel	Tell Me Why	Mondd meg, miért	9	71
2009	24	Finnország	angol	Waldo's People	Lose Control	Elveszíteni az uralmat	25	22
2008	18	Ukrajna	angol	Ani Lorak	Shady Lady	Gyanús hölgy	2	230
1968	7	Monaco	francia	Line & Willy	À chacun sa chanson	Dalát mindenkinek	7	8
1995	3	Németország	német	Stone & Stone	Verliebt in dich	Szeretni Téged	23	1
1977	16	Finnország	finn	Monica Aspelund	Lapponia	Lappföld	10	50
1965	16	Finnország	finn	Viktor Klimenko	Aurinko laskee länteen	Nyugaton kel fel a Nap	15	0
2008	24	Oroszország	angol	Dima Bilan	Believe	Hinni	1	272
2009	25	Spanyolország	spanyol, angol	Soraya Arnelas	La noche es para mí	Az éjszaka nekem való	23	23
1991	2	Izland	izlandi	Stefán és Eyfi	Nina (Draumur um Nínu)	Nina (Az álom Nináról)	15	26
2007	17	Szerbia	szerb	Marija Šerifović	Molitva	Imádság	1	268
1966	15	Franciaország	francia	Dominique Walter	Chez nous	Nálunk	16	1
1968	12	Egyesült Királyság	angol	Cliff Richard	Congratulations	Gratulálok	2	28
1963	11	Franciaország	francia	Alain Barrière	Elle était si jolie	Olyan szép volt Ő	5	25
2000	1	Izrael	héber, angol	PingPong	Sameyach / Be happy	Légy boldog	22	7
1982	8	Ciprus	görög	Anna Vissi	Mono i agapi	Csak a szerelem	5	85
1965	11	Franciaország	francia	Guy Mardel	N'avoue jamais	Sose valld be	3	22
1987	10	Törökország	török	Seyyal Taner és a Locomotif	Şarkım Sevgi Üstüne	A dalom a szerelemről	22	0
2004	17	Izland	angol	Jónsi	Heaven	Mennyország	19	16
1965	2	Egyesült Királyság	angol	Kathy Kirby	I Belong	Tartozok valakihez	2	26
2006	13	Bosznia-Hercegovina	bosnyák	Hari Mata Hari	Lejla	—	3	229
1968	11	Olaszország	olasz	Sergio Endrigo	Marianne	Marianna	10	7
1975	12	Izrael	héber	Slomo Artzi	At va'ani	Te és én	11	40
1960	5	Belgium	francia	Fud Leclerc	Mon amour pour toi	A szerelmem irántad	6	9
2006	1	Svájc	angol	Six4One	If We All Give a Little	Ha mind adunk egy kicsit	16	30
2003	22	Belgium	mesterséges nyelv	Urban Trad	Sanomi	—	2	165
1987	11	Görögország	görög	Bang	Stop	Állj	10	64
1994	17	Norvégia	norvég	Elisabeth Andreassen és Jan Werner Danielsen	Duett	—	6	76
1977	15	Olaszország	olasz	Mia Martini	Libera	Szabadon	13	33
1960	8	Monaco	francia	François Deguelt	Ce soir-là	Azon az estén	3	15
2009	2	Izrael	angol, héber, arab	Noa és Mira Awad	There Must Be Another Way	Kell lennie egy másik útnak	16	53
1989	15	Franciaország	francia	Nathalie Pâque	J'ai volé la vie	Loptam az életet	8	60
2005	20	Oroszország	angol	Natalja Podolszkaja	Nobody Hurt No One	Senki nem bánt senkit	15	57
1995	16	Portugália	portugál	Tó Cruz	Baunilha e chocolate	Vanília és csokoládé	21	5
1964	5	Finnország	finn	Lasse Mårtenson	Laiskotellen	Semmittevés	7	9
1994	7	Horvátország	horvát	Tony Cetinski	Nek' ti bude ljubav sva	Tiéd lehet minden szerelem	16	27
2001	1	Hollandia	angol	Michelle	Out On My Own	Kint, egymagamban	18	16
2003	2	Ausztria	osztrák–bajor	Alf Poier	Weil der Mensch zählt	Mert az ember számol	6	101
1965	15	Luxemburg	francia	France Gall	Poupée de cire, poupée de son	Viaszbaba, rongybaba	1	32
2013	1	Franciaország	francia	Amandine Bourgeois	L'enfer et moi	A pokol és én	23	14
2012	5	Bosznia-Hercegovina	bosnyák	Maya Sar	Korake ti znam	Ismerem a lépéseid	18	55
1977	2	Monaco	francia	Michèle Torr	Une petite française	Egy francia kislány	4	96
1958	7	Belgium	francia	Fud Leclerc	Ma petite chatte	Az én kiscicám	5	8
1969	14	Franciaország	francia	Frida Boccara	Un jour, un enfant	Egy nap, egy gyermek	1	18
1976	16	Monaco	francia	Mary Christy	Toi, la musique et moi	Te, a zene és én	3	93
1972	10	Finnország	finn	Päivi Paunu és Kim Floor	Muistathan	Emlékszel	12	78
1957	8	Franciaország	francia	Paule Desjardins	La belle amour	A szép szerelem	2	17
2000	16	Svájc	olasz	Jane Bogaert	La vita cos'è?	Mi az élet?	20	14
1978	3	Olaszország	olasz	Ricchi e Poveri	Questo amore	Ez a szerelem	12	53
1994	9	Svájc	olasz	Duilio	Sto pregando	Imádkozom	19	15
2001	11	Portugália	portugál	MTM	Só sei ser feliz assim	Csak így lehetek boldog	17	18
1994	14	Németország	német	MeKaDo	Wir geben 'ne Party	Ma éjjel partit tartunk	3	128
1977	6	Németország	angol	Silver Convention	Telegram	Távirat	8	55
1974	6	Izrael	héber	Kaveret	Natati la chajai	Neki adtam az életemet	7	11
1961	5	Jugoszlávia	szerbhorvát	Ljiljana Petrović	Neke davne zvezde	Néhány távoli csillag	8	9
1985	19	Görögország	görög	Takis Biniaris	Miazoume	Hasonlítunk egymásra	16	15
1996	12	Norvégia	norvég	Elisabeth Andreassen	I evighet	Örökké	2	114
1967	8	Finnország	finn	Fredi	Varjoon - suojaan	Az árnyékba - a biztonságba	12	3
2012	21	Málta	angol	Kurt Calleja	This Is the Night	Ez az az éjszaka	21	41
1984	15	Törökország	török	Beş Yıl Önce, On Yıl Sonra	Halay	—	12	37
2008	11	Izland	angol	Eurobandið	This Is My Life	Ez az életem	14	64
1994	3	Írország	angol	Paul Harrington és Charlie McGettigan	Rock ’n’ Roll Kids	Rock 'n' Roll kölykök	1	226
2012	15	Dánia	angol	Soluna Samay	Should've Known Better	Tudhattam volna jobban	23	21
1968	6	Svájc	olasz	Gianni Mascolo	Guardando il sole	A napba nézve	13	2
2010	11	Görögország	görög	Giorgos Alkaios & Friends	OPA!	Hoppá	8	140
2005	15	Macedónia	angol	Martin	Make My Day	Tedd teljessé a napomat	17	52
1999	5	Egyesült Királyság	angol	Precious	Say It Again	Mondd még egyszer	12	38
2002	22	Szlovénia	szlovén	Sestre	Samo ljubezen	Csak szerelem	13	33
1970	11	Németország	német	Katja Ebstein	Wunder gibt es immer wieder	A csodák újra megtörténnek	3	12
1999	9	Dánia	angol	Trine Jepsen és Michael Teschl	This Time I Mean It	Ezúttal komolyan gondolom	8	71
1997	23	Horvátország	horvát	E.N.I.	Probudi me	Ébressz fel	17	24
2002	20	Málta	angol	Ira Losco	7th Wonder	Hetedik csoda	2	164
1978	4	Finnország	finn	Seija Simola	Anna rakkaudelle tilaisuus	Adj esélyt a szerelemnek	18	2
2012	8	Ciprus	angol	Ivi Adamou	La La Love	Sze-sze-szerelem	16	65
2010	9	Fehéroroszország	angol	3+2 és Robert Wells	Butterflies	Pillangók	24	18
1997	18	Málta	angol	Debbie Scerri	Let Me Fly	Engedd, hogy repüljek	9	66
2000	19	Macedónia	macedón, angol	XXL	100% te ljubam	100%-ig szeretlek	15	29
2010	5	Ciprus	angol	Jon Lilygreen & The Islanders	Life Looks Better in Spring	Tavasszal szebbnek tűnik az élet	21	27
1976	2	Svájc	angol	Peter, Sue & Marc	Djambo, Djambo	—	4	91
2012	25	Ukrajna	angol	Gaitana	Be My Guest	Légy a vendégem!	15	65
1960	7	Ausztria	német	Harry Winter	Du hast mich so fasziniert	Annyira elkápráztattál engem	7	6
1993	12	Franciaország	francia, korzikai	Patrick Fiori	Mama Corsica	Mama Korzika	4	121
1993	25	Norvégia	norvég	Silje Vige	Alle mine tankar	Minden gondolatom	5	120
1985	6	Franciaország	francia	Roger Bens	Femme dans ses rêves aussi	Az álmaiban is nő	10	56
1997	17	Görögország	görög	Marianna Zorba	Horepse	Táncolj	12	39
1960	3	Luxemburg	luxemburgi	Camillo Felgen	So laang we's du do bast	Ameddig itt vagy	13	1
1988	2	Svédország	svéd	Tommy Körberg	Stad i ljus	A fény városa	12	52
1971	4	Svájc	francia	Peter, Sue & Marc	Les illusions de nos vingt ans	Húszas éveink tévhitei	12	78
1983	6	Törökország	török	Çetin Alp és The Short Waves	Opera	—	19	0
2007	8	Magyarország	angol	Rúzsa Magdi	Unsubstantial Blues	Aprócska blues	9	128
2007	15	Oroszország	angol	Serebro	Song #1	1-es számú dal	3	207
1968	14	Írország	angol	Pat McGeegan	Chance of a Lifetime	Egy életnyi esély	4	18
1977	5	Norvégia	norvég	Anita Skorgan	Casanova	Casanova	14	18
1959	10	Egyesült Királyság	angol	Pearl Carr és Teddy Johnson	Sing, Little Birdie	Énekelj, kismadár	2	16
2004	21	Ciprus	angol	Lisa Andreas	Stronger Every Minute	Minden perccel erősebb	5	170
1967	4	Franciaország	francia	Noëlle Cordier	Il doit faire beau là-bas	Ott biztosan szép az idő	3	20
1962	1	Finnország	finn	Marion Rung	Tipi-tii	Csip-csip	7	4
2013	5	Spanyolország	spanyol, angol	ESDM	Contigo hasta el final	Mindvégig veled	25	8
2005	13	Dánia	angol	Jakob Sveistrup	Talking to You	Veled beszélni	9	125
1967	9	Németország	német	Inge Brück	Anouschka	Annuska	8	7
1991	20	Egyesült Királyság	angol	Samantha Janus	A Message to Your Heart	Egy üzenet a szívednek	10	47
1966	11	Spanyolország	spanyol	Raphael	Yo soy aquél	Én vagyok az	7	9
1996	20	Lengyelország	lengyel	Kasia Kowalska	Chcę znać swój grzech	Tudni akarom a bűnömet	15	31
1984	16	Finnország	finn	Kirka	Hengaillaan	Csavarogjunk	9	46
1982	3	Norvégia	norvég	Jahn Teigen és Anita Skorgan	Adieu	Isten veled	12	40
1982	9	Svédország	svéd	Chips	Dag efter dag	Nap nap után	8	67
2011	19	Azerbajdzsán	angol	Ell/Nikki	Running Scared	Rémülten szaladok	1	221
1997	24	Egyesült Királyság	angol	Katrina & the Waves	Love Shine a Light	Fényt gyújt a szeretet	1	227
2004	19	Lengyelország	angol, spanyol	Blue Café	Love Song	Szerelmesdal	17	27
1966	13	Monaco	francia	Tereza	Bien plus fort	Még erősebben	17	0
2001	12	Írország	angol	Gary O'Shaughnessy	Without Your Love	Szerelmed nélkül	21	6
2008	16	Dánia	angol	Simon Mathew	All Night Long	Egész éjszaka	15	60
1970	8	Luxemburg	francia	David Alexander Winter	Je suis tombé du ciel	Az égből estem ide le	12	0
1984	9	Írország	angol	Linda Martin	Terminal 3	Hármas terminál	2	137
2006	11	Macedónia	angol, macedón	Elena Risteska	Ninanajna	—	12	56
1967	11	Egyesült Királyság	angol	Sandie Shaw	Puppet on a String	Marionettbábu	1	47
2000	23	Írország	angol	Eamonn Toal	Millennium of Love	A szerelem ezredéve	6	92
2005	17	Németország	angol	Gracia	Run & Hide	Fuss és bújj el	24	4
1998	11	Magyarország	magyar	Charlie	A holnap már nem lesz szomorú	—	23	4
1977	13	Svédország	svéd	Forbes	Beatles	Beatles	18	2
2011	3	Dánia	angol	A Friend In London	New Tomorrow	Új holnap	5	134
2009	19	Albánia	angol	Kejsi Tola	Carry Me In Your Dreams	Vigyél el az álmaidba	17	48
2010	7	Belgium	angol	Tom Dice	Me and My Guitar	Én és a gitárom	6	143
2008	25	Norvégia	angol	Maria	Hold On Be Strong	Tarts ki, légy erős	5	182
2005	12	Szerbia és Montenegró	montenegrói	No Name	Zauvijek moja	Örökké az enyém	7	137
1992	3	Izrael	héber	Dafna	Ze Rak Sport	Ez csak sport	6	85
1989	22	Jugoszlávia	szerbhorvát	Riva	Rock Me	Rázz fel	1	137
1967	2	Luxemburg	francia	Vicky Leandros	L’amour est bleu	Kék a szerelem	4	17
1968	9	Finnország	finn	Kristina Hautala	Kun kello käy	Amikor múlik az idő	16	1
1958	9	Ausztria	német	Liane Augustin	Die ganze Welt braucht Liebe	Az egész világ szerelemre vágyik	5	8
2013	18	Dánia	angol	Emmelie de Forest	Only Teardrops	Csak könnycseppek	1	281
1971	11	Olaszország	olasz	Massimo Ranieri	L'amore è un attimo	A szerelem egy pillanat	5	91
